time;audio
0;0
1;15,430830039525691
2;15,723046488625124
3;16,788059701492536
4;15,597633136094675
5;15,904667328699107
6;16,102665350444227
7;15,481037924151696
8;17,858987090367428
9;16,384
10;15,681908548707753
11;16,333333333333332
12;17,630069238377843
13;15,841269841269842
14;16,00792864222002
15;17,046580773042617
16;15,165009940357853
17;15,413861386138613
18;16,556107249255213
19;15,84995064165844
20;18,47675568743818
21;16,98804780876494
22;15,864676616915423
23;17,040714995034758
24;16,237623762376238
25;16,682539682539684
26;15,421782178217821
27;17,211155378486055
28;18,284584980237153
29;17,02970297029703
30;15,960356788899901
31;15,155378486055778
32;16,427722772277228
33;15,246778989098116
34;16,429850746268656
35;14,831013916500995
36;15,657370517928287
37;14,449060336300692
38;15,818181818181818
39;15,538308457711443
40;15,428571428571429
41;15,865213082259663
42;16,142857142857142
43;18,481113320079523
44;14,921704658077305
45;16,42814667988107
46;15,936883629191321
47;17,58730158730159
48;15,054617676266137
49;16,252714708785785
50;18,22222222222222
51;15,992055610724925
52;15,744
53;17,302879841112215
54;14,495522388059701
55;18,32770605759682
56;14,895463510848126
57;15,40652818991098
58;15,469306930693069
59;16,03171456888008
60;15,413861386138613
61;16,047384007897335
62;14,906930693069308
63;16,261645193260655
64;16,902970297029704
65;23,221449851042703
66;22,55776892430279
67;17,021782178217823
68;14,572844400396432
69;15,721669980119284
70;17,413622902270482
71;18,166666666666668
72;15,478260869565217